id,text_clean
Art. 25.,kościoły związki wyznaniowe równouprawnione ©kancelaria władze publiczne zachowują bezstronność sprawach przekonań religijnych światopoglądowych filozoficznych zapewniając swobodę wyrażania życiu publicznym stosunki panstwo kościołami innymi związkami wyznaniowymi kształtowane zasadach poszanowania autonomii wzajemnej niezależności każdego swoim zakresie współdziałania dobra czlowiek dobra wspólnego stosunki rzecząpospolitą polską kościołem katolickim określają umowa międzynarodowa zawarta stolicą apostolską ustawa stosunki rzecząpospolitą polską innymi kościołami związkami wyznaniowymi określają ustawa uchwalone umów zawartych radę ministrów właściwymi przedstawicielami
Art. 26.,siły zbrojne służą ochrona niepodległości panstwo niepodzielności terytorium zapewnieniu bezpieczeństwa nienaruszalności granic siły zbrojne zachowują neutralność sprawach politycznych podlegają cywilnej demokratycznej kontroli
Art. 27.,językiem urzędowym język przepis nie narusza prawo mniejszości narodowych wynikających ratyfikowanych umów międzynarodowych
Art. 28.,godłem wizerunek orła białego koronie czerwonym polu barwami kolory biały czerwony hymnem mazurek dąbrowskiego godło barwy hymn podlegają ochrona prawo szczegóły dotyczące godła barw hymnu określa ustawa
Art. 29.,stolicą warszawa ©kancelaria rozdział wolnosc prawo obowiazek czlowiek obywatel zasady ogólne
Art. 30.,przyrodzona niezbywalna godnosc czlowiek stanowi źródło wolnosc prawo czlowiek obywatel nienaruszalna poszanowanie ochrona obowiazek władz publicznych
Art. 31.,wolnosc czlowiek podlega ochrona prawo obowiazany szanować wolnosc prawo nikogo nie wolnosc zmuszać czynienia czego prawo nie nakaz ograniczenie zakresie korzystania konstytucyjnych wolnosc prawo ustanawiane ustawa konieczne demokratycznym państwie bezpieczeństwa porządku publicznego bądź ochrona środowiska zdrowia moralności publicznej wolnosc prawo osób ograniczenie nie naruszać istoty wolnosc prawo
Art. 32.,wobec prawo rownosc prawo rownosc traktowania władze publiczne nikt nie moze dyskryminowany życiu politycznym społecznym gospodarczym jakiejkolwiek przyczyny
Art. 33.,kobieta mężczyzna rownosc prawo życiu rodzinnym politycznym społecznym gospodarczym kobieta mężczyzna szczególności rownosc prawo kształcenia zatrudnienia awansów jednakowego wynagradzania pracę jednakowej wartości zabezpieczenia społecznego zajmowania stanowisk pełnienia funkcji uzyskiwania godnosc publicznych odznaczeń
Art. 34.,obywatel polskie nabywa urodzenie rodziców będących obywatel polskimi przypadki nabycia obywatel polskiego określa ustawa obywatel nie moze utracić obywatel polskiego chyba zrzeknie ©kancelaria
Art. 35.,rzeczpospolita zapewnia obywatel polskim należącym mniejszości narodowych etnicznych wolnosc zachowania rozwoju wlasnosc języka zachowania obyczajów tradycji rozwoju wlasnosc kultury mniejszości narodowe etniczne prawo tworzenia wlasnosc instytucji edukacyjnych kulturalnych instytucji służących ochrona tożsamości religijnej uczestnictwa rozstrzyganiu spraw dotyczących tożsamości kulturowej
Art. 36.,pobytu granicą obywatel prawo opieki strony
Art. 37.,znajduje władzą korzysta wolnosc prawo zapewnionych konstytucji wyjątki zasady odnoszące cudzoziemców określa ustawa wolnosc prawo osobiste
Art. 38.,rzeczpospolita zapewnia każdemu czlowiek prawną ochronę życia
Art. 39.,nikt nie moze poddany eksperymentom naukowym medycznym dobrowolnie wyrażonej zgody
Art. 40.,nikt nie moze poddany torturom okrutnemu nieludzkiemu poniżającemu traktowaniu karaniu zakaz stosowania kara cielesnych
Art. 41.,każdemu zapewnia nietykalnosc osobistą wolnosc osobistą pozbawienie ograniczenie wolnosc moze nastąpić zasadach trybie określonych ustawa pozbawiony wolnosc nie wyroku sad prawo odwołania sad celu niezwłocznego ustalenia legalności pozbawienia pozbawieniu wolnosc powiadamia niezwłocznie rodzinę osobę wskazaną pozbawionego wolnosc zatrzymany musi niezwłocznie zrozumiały poinformowany przyczynach zatrzymania musi ciągu godzin chwili zatrzymania przekazany dyspozycji sad zatrzymanego należy zwolnić ciągu godzin przekazania dyspozycji sad nie zostanie ©kancelaria doręczone postanowienie sad tymczasowym aresztowaniu wraz przedstawionymi zarzutami pozbawiony wolnosc musi traktowany humanitarny bezprawnie pozbawiony wolnosc prawo odszkodowania
Art. 42.,odpowiedzialnosc karnej podlega dopuścił czynu zabronionego groźbą kara ustawę obowiązującą czasie popełnienia zasada nie stoi przeszkodzie ukaraniu czyn czasie popełnienia stanowił przestępstwo myśl prawo międzynarodowego przeciw komu prowadzone postępowanie karne prawo obrony stadiach postępowania moze szczególności wybrać obrońcę zasadach określonych ustawa korzystać obrońcy urzędu każdego uważa niewinnego dopóki wina nie zostanie stwierdzona prawomocnym wyrokiem sad
Art. 43.,zbrodnie wojenne zbrodnie przeciwko ludzkości nie podlegają przedawnieniu
Art. 44.,bieg przedawnienia stosunku przestępstw nie ściganych przyczyn politycznych popełnionych funkcjonariuszy publicznych zlecenie ulega zawieszeniu czasu ustania przyczyn
Art. 45.,prawo sprawiedliwego jawnego rozpatrzenia sprawy nieuzasadnionej zwłoki właściwy niezależny bezstronny niezawisły sad wyłączenie jawności rozprawy moze nastąpić względu moralność bezpieczeństwo panstwo porządek publiczny względu ochronę życia prywatnego stron ważny interes prywatny wyrok ogłaszany publicznie
Art. 46.,przepadek rzeczy moze nastąpić przypadkach określonych ustawa prawomocnego orzeczenia sad
Art. 47.,prawo ochrona prawo życia prywatnego rodzinnego czci dobrego imienia decydowania swoim życiu osobistym
Art. 48.,rodzice prawo wychowania dzieci zgodnie własnymi przekonaniami wychowanie musi uwzględniać stopień dojrzałości dziecka wolnosc sumienia wyznania przekonania ©kancelaria ograniczenie pozbawienie prawo rodzicielskich moze nastąpić przypadkach określonych ustawa prawomocnego orzeczenia sad
Art. 49.,zapewnia wolnosc ochronę tajemnicy komunikowania ograniczenie moze nastąpić przypadkach określonych ustawa określony
Art. 50.,zapewnia nienaruszalność mieszkania przeszukanie mieszkania pomieszczenia pojazdu moze nastąpić przypadkach określonych ustawa określony
Art. 51.,nikt nie moze obowiazany inaczej ustawa ujawniania informacji dotyczących osoby władze publiczne nie pozyskiwać gromadzić udostępniać informacji obywatelach niezbędne demokratycznym państwie prawo prawo dostępu dotyczących urzędowych dokumentów zbiorów danych ograniczenie prawo moze określić ustawa prawo żądania sprostowania usunięcia informacji nieprawdziwych niepełnych zebranych sprzeczny ustawa zasady tryb gromadzenia udostępniania informacji określa ustawa
Art. 52.,każdemu zapewnia wolnosc poruszania terytorium wyboru miejsca zamieszkania pobytu moze swobodnie opuścić terytorium wolnosc mowa podlegać ograniczenie określonym ustawa obywatel polskiego nie wydalić kraju zakazać powrotu kraju osoba pochodzenie polskie zostało stwierdzone zgodnie ustawa moze osiedlić terytorium stałe
Art. 53.,każdemu zapewnia wolnosc sumienia religii wolnosc religii obejmuje wolnosc wyznawania przyjmowania religii wlasnosc wyboru uzewnętrzniania indywidualnie innymi publicznie prywatnie swojej religii uprawianie kultu modlitwę uczestniczenie obrzędach praktykowanie nauczanie wolnosc religii obejmuje ©kancelaria posiadanie świątyń miejsc kultu zależności potrzeb czlowiek wierzących prawo osób korzystania pomocy religijnej znajdują rodzice prawo zapewnienia dzieciom wychowania nauczania moralnego religijnego zgodnie swoimi przekonaniami przepis stosuje odpowiednio religia kościoła innego związku wyznaniowego uregulowanej sytuacji prawo moze przedmiotem nauczania szkole czym nie moze naruszona wolnosc sumienia religii osób wolnosc uzewnętrzniania religii moze ograniczenie drodze ustawa konieczne ochrona bezpieczeństwa panstwo porządku publicznego zdrowia moralności wolnosc prawo osób nikt nie moze zmuszany uczestniczenia nieuczestniczenia praktykach religijnych nikt nie moze obowiazany organy władzy publicznej ujawnienia swojego światopoglądu przekonań religijnych wyznania
Art. 54.,każdemu zapewnia wolnosc wyrażania swoich poglądów pozyskiwania rozpowszechniania informacji cenzura prewencyjna środków społecznego przekazu koncesjonowanie prasy zakaz ustawa moze wprowadzić obowiazek uprzedniego uzyskania koncesji prowadzenie stacji radiowej telewizyjnej
Art. 55.,ekstradycja obywatel polskiego zakaz wyjątkiem przypadków określonych ekstradycja obywatel polskiego moze dokonana wniosek innego panstwo sad organu międzynarodowego możliwość wynika ratyfikowanej rzeczpospolitą polską umowy międzynarodowej ustawa wykonującej akt prawo stanowionego organizację międzynarodową rzeczpospolita członkiem warunkiem czyn objęty wnioskiem ekstradycję popełniony terytorium stanowił przestępstwo prawo stanowiłby przestępstwo prawo popełnienia ©kancelaria terytorium zarówno czasie popełnienia chwili złożenia wniosku nie wymaga spełnienia warunków określonych ekstradycja mająca nastąpić wniosek sad organu międzynarodowego powołanego ratyfikowanej rzeczpospolitą polską umowy międzynarodowej związku objętą jurysdykcją organu zbrodnią ludobójstwa zbrodnią przeciwko ludzkości zbrodnią wojenną zbrodnią agresji ekstradycja zakaz dotyczy osoby podejrzanej popełnienie użycia przemocy przestępstwa przyczyn politycznych dokonanie naruszać wolnosc prawo czlowiek obywatel sprawie dopuszczalności ekstradycji orzeka sad
Art. 56.,cudzoziemcy korzystać prawo azylu zasadach określonych ustawa cudzoziemcowi poszukuje ochrona prześladowaniem moze przyznany status uchodźcy zgodnie wiążącymi rzeczpospolitą polską umowami międzynarodowymi wolnosc prawo polityczne
Art. 57.,każdemu zapewnia wolnosc organizowania pokojowych zgromadzeń uczestniczenia ograniczenie wolnosc moze określać ustawa
Art. 58.,każdemu zapewnia wolnosc zrzeszania zakaz zrzeszenia cel działalność sprzeczne konstytucją ustawa odmowie rejestracji zakazie działania takiego zrzeszenia orzeka sad ustawa określa rodzaje zrzeszeń podlegających sad rejestracji tryb rejestracji formy nadzoru tymi zrzeszeniami
Art. 59.,zapewnia wolnosc zrzeszania związkach zawodowych organizacjach społecznozawodowych rolników organizacjach pracodawców związki zawodowe pracodawcy organizacje prawo rokowań szczególności celu rozwiązywania sporów zbiorowych zawierania układów zbiorowych pracy porozumień ©kancelaria związkom zawodowym przysługuje prawo organizowania strajków pracowniczych form protestu granicach określonych ustawa względu dobro publiczne ustawa moze ograniczyć prowadzenie strajku zakazać odniesieniu określonych kategorii pracowników określonych dziedzinach zakres wolnosc zrzeszania związkach zawodowych organizacjach pracodawców wolnosc związkowych moze podlegać takim ograniczenie ustawa dopuszczalne wiążące rzeczpospolitą polską umowy międzynarodowe
Art. 60.,obywatel polscy korzystający pełni prawo publicznych prawo dostępu służby publicznej jednakowych zasadach
Art. 61.,obywatel prawo uzyskiwania informacji działalności organów władzy publicznej osób pełniących funkcje publiczne prawo obejmuje uzyskiwanie informacji działalności organów samorządu gospodarczego zawodowego osób jednostek organizacyjnych zakresie jakim wykonują zadania władzy publicznej gospodarują mieniem komunalnym majątkiem skarbu panstwo prawo uzyskiwania informacji obejmuje dostęp dokumentów wstęp posiedzenia kolegialnych organów władzy publicznej pochodzących powszechnych wyborów możliwością rejestracji dźwięku obrazu ograniczenie prawo mowa moze nastąpić wyłącznie względu określone ustawa ochronę wolnosc prawo osób podmiotów gospodarczych ochronę porządku publicznego bezpieczeństwa ważnego interesu gospodarczego panstwo tryb udzielania informacji mowa określają ustawa odniesieniu senatu regulaminy
Art. 62.,obywatel prawo udziału referendum prawo wybierania prezydenta posłów senatorów przedstawicieli organów samorządu terytorialnego najpóźniej dniu głosowania kończy ©kancelaria prawo udziału referendum prawo wybierania nie przysługuje osobom prawomocnym orzeczeniem sądowym ubezwłasnowolnione pozbawione prawo publicznych wyborczych
Art. 63.,prawo składać petycje wnioski skargi interesie publicznym własnym innej osoby zgodą organów władzy publicznej organizacji instytucji społecznych związku wykonywanymi nie zadaniami zleconymi zakresu administracji publicznej tryb rozpatrywania petycji wniosków skarg określa ustawa wolnosc prawo ekonomiczne socjalne kulturalne
Art. 64.,prawo wlasnosc prawo majątkowych prawo dziedziczenia wlasnosc prawo majątkowe prawo dziedziczenia podlegają rownosc ochrona prawo wlasnosc moze ograniczenie drodze ustawa zakresie jakim nie narusza istoty prawo wlasnosc
Art. 65.,każdemu zapewnia wolnosc wyboru wykonywania zawodu wyboru miejsca pracy wyjątki określa ustawa obowiazek pracy moze nałożony ustawę stałe zatrudnianie dzieci zakaz formy charakter dopuszczalnego zatrudniania określa ustawa minimalną wysokość wynagrodzenia pracę ustalania wysokości określa ustawa władze publiczne prowadzą politykę zmierzającą pełnego produktywnego zatrudnienia poprzez realizowanie programów zwalczania bezrobocia organizowanie wspieranie poradnictwa szkolenia zawodowego robót publicznych prac interwencyjnych
Art. 66.,prawo bezpiecznych higienicznych warunków pracy realizacji prawo obowiazek pracodawcy określa ustawa pracownik prawo określonych ustawa dni wolnosc pracy corocznych płatnych urlopów maksymalne normy czasu pracy określa ustawa ©kancelaria
Art. 67.,obywatel prawo zabezpieczenia społecznego niezdolności pracy względu chorobę inwalidztwo osiągnięciu wieku emerytalnego zakres formy zabezpieczenia społecznego określa ustawa obywatel pozostający pracy nie wlasnosc woli nie mający środków utrzymania prawo zabezpieczenia społecznego zakres formy określa ustawa
Art. 68.,prawo ochrona zdrowia obywatel niezależnie sytuacji materialnej władze publiczne zapewniają rownosc dostęp świadczeń opieki zdrowotnej finansowanej środków publicznych warunki zakres udzielania świadczeń określa ustawa władze publiczne obowiazany zapewnienia szczególnej opieki zdrowotnej dzieciom kobietom ciężarnym osobom niepełnosprawnym osobom podeszłym wieku władze publiczne obowiazany zwalczania chorób epidemicznych zapobiegania negatywnym zdrowia skutkom degradacji środowiska władze publiczne popierają rozwój kultury fizycznej zwłaszcza dzieci młodzieży
Art. 69.,osobom niepełnosprawnym władze publiczne udzielają zgodnie ustawa pomocy zabezpieczaniu egzystencji przysposobieniu pracy komunikacji społecznej
Art. 70.,prawo nauki nauka życia obowiazek wykonywania obowiazek szkolnego określa ustawa nauka szkołach publicznych bezpłatna ustawa moze dopuścić świadczenie niektórych usług edukacyjnych publiczne szkoły wyższe odpłatnością rodzice wolnosc wyboru swoich dzieci szkół publiczne obywatel instytucje prawo zakładania szkół podstawowych ponadpodstawowych wyższych zakładów wychowawczych warunki zakładania działalności szkół niepublicznych udziału władz publicznych finansowaniu zasady nadzoru pedagogicznego szkołami zakładami wychowawczymi określa ustawa ©kancelaria władze publiczne zapewniają obywatel powszechny rownosc dostęp wykształcenia celu tworzą wspierają systemy indywidualnej pomocy finansowej organizacyjnej uczniów studentów warunki udzielania pomocy określa ustawa zapewnia autonomię szkół wyższych zasadach określonych ustawa
Art. 71.,panstwo swojej polityce społecznej gospodarczej uwzględnia dobro rodziny rodziny znajdujące trudnej sytuacji materialnej społecznej zwłaszcza wielodzietne niepełne prawo szczególnej pomocy strony władz publicznych matka urodzeniu dziecka prawo szczególnej pomocy władz publicznych zakres określa ustawa
Art. 72.,rzeczpospolita zapewnia ochronę prawo dziecka prawo żądać organów władzy publicznej ochrona dziecka przemocą okrucieństwem wyzyskiem demoralizacją dziecko pozbawione opieki rodzicielskiej prawo opieki pomocy władz publicznych toku ustalania prawo dziecka organy władzy publicznej osoby odpowiedzialnosc dziecko obowiazany wysłuchania miarę możliwości uwzględnienia zdania dziecka ustawa określa kompetencje powoływania rzecznika prawo dziecka
Art. 73.,każdemu zapewnia wolnosc twórczości artystycznej badań naukowych ogłaszania wyników wolnosc nauczania wolnosc korzystania dóbr kultury
Art. 74.,władze publiczne prowadzą politykę zapewniającą bezpieczeństwo ekologiczne współczesnemu przyszłym pokoleniom ochrona środowiska obowiazek władz publicznych prawo informacji stanie ochrona środowiska władze publiczne wspierają działania obywatel rzecz ochrona poprawy stanu środowiska
Art. 75.,władze publiczne prowadzą politykę sprzyjającą zaspokojeniu potrzeb mieszkaniowych obywatel szczególności przeciwdziałają bezdomności ©kancelaria wspierają rozwój budownictwa socjalnego popierają działania obywatel zmierzające uzyskania wlasnosc mieszkania ochronę prawo lokatorów określa ustawa
Art. 76.,władze publiczne chronią konsumentów użytkowników najemców działaniami zagrażającymi zdrowiu prywatności bezpieczeństwu nieuczciwymi praktykami rynkowymi zakres ochrona określa ustawa środki ochrona wolnosc prawo
Art. 77.,prawo wynagrodzenia szkody jaka została wyrządzona niezgodne prawo działanie organu władzy publicznej ustawa nie moze nikomu zamykać drogi sad dochodzenia naruszonych wolnosc prawo
Art. 78.,każda stron prawo zaskarżenia orzeczeń decyzji wydanych pierwszej instancji wyjątki zasady tryb zaskarżania określa ustawa
Art. 79.,czyje konstytucyjne wolnosc prawo zostały naruszone prawo zasadach określonych ustawa wnieść skargę trybunal konstytucyjnego sprawie zgodności konstytucją ustawa innego aktu normatywnego sad organ administracji publicznej orzekł ostatecznie wolnosc prawo obowiązkach określonych konstytucji przepis nie dotyczy prawo określonych
Art. 80.,prawo wystąpienia zasadach określonych ustawa rzecznika prawo obywatel wnioskiem pomoc ochrona swoich wolnosc prawo naruszonych organy władzy publicznej
Art. 81.,prawo określonych dochodzić granicach określonych ustawa obowiazek
Art. 82.,obowiazek obywatel polskiego wierność troska dobro wspólne
Art. 83.,obowiazek przestrzegania prawo ©kancelaria
Art. 84.,obowiazany ponoszenia ciężarów świadczeń publicznych podatków określonych ustawa
Art. 85.,obowiazek obywatel polskiego obrona ojczyzny zakres obowiazek służby wojskowej określa ustawa obywatel któremu przekonania religijne wyznawane zasady moralne nie pozwalają odbywanie służby wojskowej moze obowiazany służby zastępczej zasadach określonych ustawa
Art. 86.,obowiazany dbałości stan środowiska ponosi odpowiedzialnosc spowodowane siebie pogorszenie zasady odpowiedzialnosc określa ustawa rozdział źródła prawo
Art. 87.,źródłami powszechnie obowiązującego prawo ustawa ratyfikowane umowy międzynarodowe rozporządzenia źródłami powszechnie obowiązującego prawo obszarze działania organów ustanowiły akty prawo miejscowego
Art. 88.,warunkiem wejścia życie ustawa rozporządzeń aktów prawo miejscowego ogłoszenie zasady tryb ogłaszania aktów normatywnych określa ustawa umowy międzynarodowe ratyfikowane uprzednią zgodą wyrażoną ustawa ogłaszane trybie wymaganym ustawa zasady ogłaszania umów międzynarodowych określa ustawa
Art. 89.,ratyfikacja rzeczpospolitą polską umowy międzynarodowej wypowiedzenie wymaga uprzedniej zgody wyrażonej ustawa umowa dotyczy pokoju sojuszy układów politycznych układów wojskowych wolnosc prawo obowiazek obywatel określonych konstytucji członkostwa organizacji międzynarodowej znacznego obciążenia panstwo względem finansowym spraw uregulowanych ustawa wymaga ustawa ©kancelaria zamiarze przedłożenia prezydentowi ratyfikacji umów międzynarodowych ratyfikacja nie wymaga zgody wyrażonej ustawa prezes rady ministrów zawiadamia sejm zasady tryb zawierania ratyfikowania wypowiadania umów międzynarodowych określa ustawa
Art. 90.,rzeczpospolita moze umowy międzynarodowej przekazać organizacji międzynarodowej organowi międzynarodowemu kompetencje organów władzy panstwo niektórych sprawach ustawa wyrażająca zgodę ratyfikację umowy międzynarodowej mowa uchwalana sejm większością głosów obecności najmniej połowy ustawa liczby posłów senat większością głosów obecności najmniej połowy ustawa liczby senatorów wyrażenie zgody ratyfikację takiej umowy moze uchwalone referendum ogólnokrajowym zgodnie przepisem uchwałę sprawie wyboru trybu wyrażenia zgody ratyfikację podejmuje sejm bezwzględną większością głosów obecności najmniej połowy ustawa liczby posłów
Art. 91.,ratyfikowana umowa międzynarodowa ogłoszeniu dzienniku ustawa stanowi część krajowego porządku prawo bezpośrednio stosowana chyba stosowanie uzależnione wydania ustawa umowa międzynarodowa ratyfikowana uprzednią zgodą wyrażoną ustawa pierwszeństwo ustawa ustawa nie da pogodzić umową wynika ratyfikowanej rzeczpospolitą polską umowy konstytuującej organizację międzynarodową prawo stanowione stosowane bezpośrednio mając pierwszeństwo przypadku kolizji ustawa
Art. 92.,rozporządzenia wydawane organy wskazane konstytucji szczegółowego upoważnienia zawartego ustawa celu wykonania upoważnienie musi określać organ właściwy wydania rozporządzenia zakres spraw przekazanych uregulowania wytyczne dotyczące treści aktu ©kancelaria organ upoważniony wydania rozporządzenia nie moze przekazać swoich kompetencji mowa innemu organowi
Art. 93.,uchwały rady ministrów zarządzenia prezesa rady ministrów ministrów charakter wewnętrzny obowiazany jednostki organizacyjnie podległe organowi wydającemu akty zarządzenia wydawane ustawa nie stanowić podstawy decyzji wobec obywatel osób prawo podmiotów uchwały zarządzenia podlegają kontroli zgodności powszechnie obowiązującym prawo
Art. 94.,organy samorządu terytorialnego terenowe organy administracji rządowej granicach upoważnień zawartych ustawa ustanawiają akty prawo miejscowego obowiązujące obszarze działania organów zasady tryb wydawania aktów prawo miejscowego określa ustawa rozdział sejm senat
Art. 95.,władzę ustawodawczą sprawują sejm senat sejm sprawuje kontrolę działalnością rady ministrów zakresie określonym przepisami konstytucji ustawa wybory kadencja
Art. 96.,sejm składa posłów wybory powszechne rownosc bezpośrednie proporcjonalne odbywają głosowaniu tajnym
Art. 97.,senat składa senatorów wybory senatu powszechne bezpośrednie odbywają głosowaniu tajnym
Art. 98.,sejm senat wybierane czteroletnie kadencje kadencje senatu rozpoczynają dniem zebrania pierwsze posiedzenie trwają poprzedzającego dzień zebrania następnej kadencji ©kancelaria wybory senatu zarządza prezydent nie później dni upływem rozpoczęcia kadencji senatu wyznaczając wybory dzień wolnosc pracy przypadający ciągu dni upływem rozpoczęcia kadencji senatu sejm moze skrócić swoją kadencję uchwałą podjętą większością najmniej głosów ustawa liczby posłów skrócenie kadencji oznacza jednoczesne skrócenie kadencji senatu przepis stosuje odpowiednio prezydent zasięgnięciu opinii marszałka marszałka senatu moze przypadkach określonych konstytucji zarządzić skrócenie kadencji wraz skróceniem kadencji skrócona zostaje kadencja senatu prezydent zarządzając skrócenie kadencji zarządza jednocześnie wybory senatu wyznacza datę dzień przypadający nie później ciągu dni zarządzenia skrócenia kadencji prezydent zwołuje pierwsze posiedzenie nowo wybranego nie później dzień dniu przeprowadzenia wyborów skrócenia kadencji stosuje odpowiednio przepis
Art. 99.,wybrany moze obywatel mający prawo wybierania najpóźniej dniu wyborów kończy wybrany senatu moze obywatel mający prawo wybierania najpóźniej dniu wyborów kończy wybraną senatu nie moze osoba skazana prawomocnym wyrokiem karę pozbawienia wolnosc przestępstwo umyślne ścigane oskarżenia publicznego
Art. 100.,kandydatów posłów senatorów zgłaszać partie polityczne wyborcy nie kandydować równocześnie senatu zasady tryb zgłaszania kandydatów przeprowadzania wyborów warunki ważności wyborów określa ustawa
Art. 101.,ważność wyborów senatu stwierdza sad najwyższy wyborcy przysługuje prawo zgłoszenia sad najwyższego protestu przeciwko ważności wyborów zasadach określonych ustawa ©kancelaria posłowie senatorowie
Art. 102.,nie równocześnie posłem senatorem
